idna_subject,checker_type,destination,tested_at
info-secure-france.fr,AVAILABILITY,origin.list,2022-11-19 05:49:41.264903
service-attestation-recharge.fr,AVAILABILITY,origin.list,2022-11-19 06:26:11.870326
9163.yt,AVAILABILITY,origin.list,2022-11-19 06:26:11.968978
9101.yt,AVAILABILITY,origin.list,2022-11-19 06:26:12.362972
9160.yt,AVAILABILITY,origin.list,2022-11-19 06:26:12.635269
9146.yt,AVAILABILITY,origin.list,2022-11-19 06:26:12.979126
9167.yt,AVAILABILITY,origin.list,2022-11-19 06:26:13.067625
8937.yt,AVAILABILITY,origin.list,2022-11-19 06:26:13.335742
9161.yt,AVAILABILITY,origin.list,2022-11-19 06:26:13.927570
9165.yt,AVAILABILITY,origin.list,2022-11-19 06:26:13.960751
9166.yt,AVAILABILITY,origin.list,2022-11-19 06:26:14.052859
9168.yt,AVAILABILITY,origin.list,2022-11-19 06:26:14.178123
9169.yt,AVAILABILITY,origin.list,2022-11-19 06:26:14.970935
9176.yt,AVAILABILITY,origin.list,2022-11-19 06:26:15.016951
9171.yt,AVAILABILITY,origin.list,2022-11-19 06:26:15.051786
9175.yt,AVAILABILITY,origin.list,2022-11-19 06:26:15.113242
9173.yt,AVAILABILITY,origin.list,2022-11-19 06:26:16.025526
9172.yt,AVAILABILITY,origin.list,2022-11-19 06:26:16.151758
9174.yt,AVAILABILITY,origin.list,2022-11-19 06:26:16.166201
9179.yt,AVAILABILITY,origin.list,2022-11-19 06:26:16.195868
9180.yt,AVAILABILITY,origin.list,2022-11-19 06:26:16.785704
9177.yt,AVAILABILITY,origin.list,2022-11-19 06:26:17.113627
9187.yt,AVAILABILITY,origin.list,2022-11-19 06:26:17.123447
9185.yt,AVAILABILITY,origin.list,2022-11-19 06:26:17.138424
9178.yt,AVAILABILITY,origin.list,2022-11-19 06:26:17.496945
9181.yt,AVAILABILITY,origin.list,2022-11-19 06:26:18.115668
9183.yt,AVAILABILITY,origin.list,2022-11-19 06:26:18.161653
9200.yt,AVAILABILITY,origin.list,2022-11-19 06:26:18.178719
9254.yt,AVAILABILITY,origin.list,2022-11-19 06:26:18.356330
9326.yt,AVAILABILITY,origin.list,2022-11-19 06:26:19.184963
9216.yt,AVAILABILITY,origin.list,2022-11-19 06:26:19.221089
9318.yt,AVAILABILITY,origin.list,2022-11-19 06:26:19.279263
93329.yt,AVAILABILITY,origin.list,2022-11-19 06:26:19.329766
9321.yt,AVAILABILITY,origin.list,2022-11-19 06:26:19.404188
