# Generated by PyFunceble (v4.1.2.dev) / https://git.io/vpZoI
# Date of generation: 2022-11-12T06:26:00.108556

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
KEY-SYSTEMS GmbH               42%          13          
One.com A/S                    13%          4           
Realtime Register B.V.         13%          4           
OVH                            10%          3           
Infomaniak Network SA          6%           2           
1API GmbH                      3%           1           
FEELB                          3%           1           
GRANSY s.r.o.                  3%           1           
IONOS SE                       3%           1           
SAS Ligne Web Services - LWS   3%           1           
